max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
-0.0370646, 0.0234547, 0.0438623, -0.0970886, -0.0500054, -0.0191821, 0.0535583, -0.140961
-0.0707312, 0.00495696, 0.0709046, -0.108288, -0.0633807, -0.000892758, 0.063387, -0.114991
-0.02951, 0.04346, 0.052532, -0.0893073, -0.153471, -0.00305629, 0.153501, -0.0978539
-0.365726, 0.0172181, 0.366132, -0.0988288, -0.194951, 0.0111851, 0.195272, -0.121166
0.0445232, 0.00169754, 0.0445556, -0.111376, -0.204501, -0.0124075, 0.204877, -0.120476
-0.319264, 0.0247161, 0.32022, -0.107143, -0.265455, 0.0306015, 0.267213, -0.112682
-0.32609, 0.0412172, 0.328684, -0.0941739, -0.286855, 0.0422486, 0.289949, -0.117149
-0.340454, 0.0125828, 0.340687, -0.104702, -0.272743, -0.00900984, 0.272892, -0.119025
-0.347349, 0.0358459, 0.349194, -0.0924861, -0.259375, 0.00107795, 0.259377, -0.0994598
-0.352002, 0.0554863, 0.356348, -0.107827, -0.250383, 0.0292968, 0.252092, -0.105666
-0.298818, 0.0418915, 0.30174, -0.0994761, -0.198282, 0.0388554, 0.202053, -0.0933896
0.0831261, 0.0652156, 0.105655, -0.107504, -0.189393, 0.0224493, 0.190718, -0.106829
-0.301509, 0.056915, 0.306834, -0.113875, -0.166303, 0.0749116, 0.182397, -0.124702
-0.300901, 0.0355462, 0.302993, -0.0984913, -0.244851, 0.0670771, 0.253872, -0.0922924
-0.336819, 0.0305636, 0.338203, -0.105863, -0.256464, 0.0440394, 0.260217, -0.0972128
-0.294401, 0.0606468, 0.300583, -0.0969294, -0.254282, 0.0518258, 0.25951, -0.119103
-0.300597, 0.040502, 0.303313, -0.107841, -0.265042, 0.064069, 0.272676, -0.100902
-0.240314, 0.0370682, 0.243156, -0.0870669, -0.275381, 0.0635245, 0.282613, -0.0642667
-0.290595, 0.0419209, 0.293603, -0.079726, -0.279, 0.0656343, 0.286617, -0.0677053
-0.2638, 0.0472934, 0.268006, -0.107755, -0.279679, 0.0593303, 0.285903, -0.104887
-0.277025, 0.0479451, 0.281144, -0.0980871, -0.268963, 0.0693613, 0.277763, -0.10819
-0.285077, 0.0582667, 0.290971, -0.0948821, -0.292118, 0.0563989, 0.297512, -0.121828
-0.281459, 0.0346477, 0.283583, -0.0884134, -0.279583, 0.0542843, 0.284805, -0.0963017
-0.323545, 0.030765, 0.325004, -0.103044, -0.292552, 0.0400263, 0.295278, -0.0872935
-0.362958, 0.0111969, 0.363131, -0.0949108, -0.323987, 0.0196337, 0.324581, -0.0934952
-0.330509, 0.0203638, 0.331135, -0.104232, -0.306306, 0.018805, 0.306883, -0.0918279
-0.289094, 0.0170862, 0.289598, -0.09405, -0.296767, 0.0154273, 0.297167, -0.106613
-0.232213, 0.018096, 0.232918, -0.109398, -0.291258, 0.0101266, 0.291434, -0.123153
-0.281003, 0.00998898, 0.28118, -0.111285, -0.267949, 0.00433793, 0.267984, -0.103624
-0.252035, 0.00578454, 0.252102, -0.0968587, -0.278473, -0.00347022, 0.278495, -0.0927281
